t,symbol,high,low,open,close,volume
1618200000000,TSLA,234.9333,227.3633,228.5667,233.9933,87402510.0
1618286400000,TSLA,254.3333,236.8867,237.5667,254.1067,133695849.0
1618372800000,TSLA,260.2633,242.6767,256.9,244.0767,147039441.0
1618459200000,TSLA,247.8967,240.4367,247.7,246.2833,83546550.0
1618545600000,TSLA,249.8033,241.5333,242.8833,246.5933,83938044.0
1618804800000,TSLA,241.8,230.6,239.8667,238.21,118960536.0
1618891200000,TSLA,245.75,236.895,239.14,239.6633,106767639.0
1618977600000,TSLA,248.28,232.6667,234.9233,248.04,93646542.0
1619064000000,TSLA,251.2567,239.3467,247.1667,239.8967,106770765.0
1619150400000,TSLA,245.7867,238.4867,239.9333,243.1333,84641139.0
1619409600000,TSLA,249.7667,244.2018,247.0,246.0667,93114885.0
1619496000000,TSLA,241.3333,234.45,239.32,234.9133,88310985.0
1619582400000,TSLA,236.1667,231.2,232.1367,231.4667,66663141.0
1619668800000,TSLA,234.0833,222.8334,233.17,225.6667,86536347.0
1619755200000,TSLA,238.49,222.0467,222.53,236.48,122276166.0
1620014400000,TSLA,235.3333,226.8333,234.6,228.3,81129429.0
1620100800000,TSLA,227.8155,219.2337,226.3133,224.5333,89200557.0
1620187200000,TSLA,228.4318,222.4467,227.02,223.6467,65705682.0
1620273600000,TSLA,227.0067,216.6667,226.92,221.18,83326827.0
1620360000000,TSLA,230.0,220.0733,221.9333,224.1233,70407516.0
1620619200000,TSLA,221.6833,209.2034,221.6333,209.68,94176972.0
1620705600000,TSLA,209.0333,198.5333,199.7467,205.7333,139511688.0
1620792000000,TSLA,206.8033,195.5883,200.83,196.63,101451138.0
1620878400000,TSLA,202.1533,186.55,200.515,190.5633,132554748.0
1620964800000,TSLA,197.6233,190.1533,194.47,196.58,100101168.0
1621224000000,TSLA,196.5767,187.0667,191.851,192.2767,97166490.0
1621310400000,TSLA,198.75,187.7933,189.3333,192.6233,110488101.0
1621396800000,TSLA,188.7367,182.3267,184.1833,187.82,118240185.0
1621483200000,TSLA,196.2833,190.3567,191.6667,195.5933,92298357.0
1621569600000,TSLA,198.8933,193.3333,198.7033,193.6267,78091785.0
1621828800000,TSLA,204.8267,191.2167,193.8667,202.1467,103674267.0
1621915200000,TSLA,204.6633,198.57,202.4367,201.5633,83991249.0
1622001600000,TSLA,208.7233,200.5,202.52,206.3767,85911915.0
1622088000000,TSLA,210.3767,205.4033,206.7467,210.2833,79111779.0
1622174400000,TSLA,211.8633,207.46,209.5,208.4067,68061054.0
1622520000000,TSLA,211.2667,206.85,209.2667,207.9667,53647170.0
1622606400000,TSLA,207.7867,199.7133,206.71,201.7067,69608337.0
1622692800000,TSLA,201.5167,190.4067,200.6,190.9467,90303444.0
1622779200000,TSLA,200.2033,192.4,193.2367,199.6833,71810688.0
1623038400000,TSLA,203.3333,194.2933,197.275,201.71,67630437.0
1623124800000,TSLA,207.6967,198.5,207.67,201.1967,78160167.0
1623211200000,TSLA,203.93,199.21,200.7233,199.5933,49753698.0
1623297600000,TSLA,205.53,200.1667,201.2933,203.3733,71758818.0
1623384000000,TSLA,204.1867,200.5067,203.41,203.2967,48563409.0
1623643200000,TSLA,208.4967,203.06,204.0767,205.8967,61149450.0
1623729600000,TSLA,205.5967,199.41,205.5633,199.7867,53292435.0
1623816000000,TSLA,202.8333,197.8333,199.1783,201.6233,65562381.0
