symbol,date,high,low,open,close,volume
GOOG,2021-04-16,115.322,114.2225,115.15,114.888,22601800.0
GOOG,2021-04-19,115.9225,114.3923,114.599,115.12,24688900.0
GOOG,2021-04-20,115.48,113.5855,115.3945,114.6815,21774980.0
GOOG,2021-04-21,114.766,112.9285,114.2625,114.6645,23934620.0
GOOG,2021-04-22,115.1881,112.8225,114.6615,113.396,21096160.0
GOOG,2021-04-23,116.291,113.9105,114.1735,115.765,28703240.0
GOOG,2021-04-26,117.063,115.692,115.9965,116.337,20833000.0
GOOG,2021-04-27,116.8725,115.2135,116.8,115.356,31971660.0
GOOG,2021-04-28,122.6189,118.7425,120.3573,118.9955,59728780.0
GOOG,2021-04-29,121.826,120.114,120.5165,121.4945,39553540.0
GOOG,2021-04-30,121.357,120.108,120.2245,120.506,38975080.0
GOOG,2021-05-03,120.985,119.225,120.136,119.7585,33787780.0
GOOG,2021-05-04,118.963,115.585,118.487,117.7125,35120300.0
GOOG,2021-05-05,119.11,117.5705,118.421,117.837,21805500.0
GOOG,2021-05-06,119.1355,117.1169,117.532,119.0675,20617180.0
GOOG,2021-05-07,120.8205,119.5,120.0,119.9345,23277840.0
GOOG,2021-05-10,118.9,116.7365,118.7445,117.083,26005420.0
GOOG,2021-05-11,116.1,114.15,114.593,115.438,32110960.0
GOOG,2021-05-12,114.2685,111.5025,113.0855,111.954,34933280.0
GOOG,2021-05-13,113.8301,112.136,113.0545,113.0985,26670160.0
GOOG,2021-05-14,116.057,114.166,114.5915,115.808,26624960.0
GOOG,2021-05-17,116.167,114.75,115.466,116.0705,19848320.0
GOOG,2021-05-18,117.1575,115.158,116.8453,115.1715,17302380.0
GOOG,2021-05-19,115.838,113.176,113.22,115.4355,19350880.0
GOOG,2021-05-20,118.017,116.0545,116.402,117.8045,23831860.0
GOOG,2021-05-21,118.45,117.1185,118.2995,117.255,22832640.0
GOOG,2021-05-24,120.924,118.0055,118.35,120.3335,21243780.0
GOOG,2021-05-25,121.6445,120.1495,121.0,120.4535,18438560.0
GOOG,2021-05-26,122.1472,120.6258,120.6418,121.6765,21556380.0
GOOG,2021-05-27,122.0,120.1,121.847,120.1255,38962260.0
GOOG,2021-05-28,121.407,120.3845,121.098,120.578,24107640.0
GOOG,2021-06-01,121.8985,120.244,121.1,121.4905,19165780.0
GOOG,2021-06-02,122.1,120.21,121.7655,121.064,17162100.0
GOOG,2021-06-03,120.4873,119.1415,119.751,120.2305,18345820.0
GOOG,2021-06-04,122.693,120.8885,121.126,122.588,25948680.0
GOOG,2021-06-07,123.4,122.0536,122.566,123.3045,23849060.0
GOOG,2021-06-08,124.7248,123.412,123.995,124.1425,24965000.0
GOOG,2021-06-09,125.25,124.3665,124.975,124.57,20126740.0
GOOG,2021-06-10,126.163,124.7,124.7005,126.08,31234660.0
GOOG,2021-06-11,126.3495,124.9145,126.246,125.6965,25246180.0
GOOG,2021-06-14,126.4115,125.047,125.6695,126.352,22550440.0
GOOG,2021-06-15,126.862,125.6485,126.522,126.033,22182600.0
GOOG,2021-06-16,126.5235,124.15,126.2475,125.6965,26316760.0
GOOG,2021-06-17,127.1965,125.515,125.523,126.371,25755820.0
GOOG,2021-06-18,126.389,124.603,125.7055,125.5675,53186200.0
GOOG,2021-06-21,127.0367,125.1343,125.74,126.455,26256520.0
GOOG,2021-06-22,127.27,126.0265,126.45,126.9995,20986200.0
GOOG,2021-06-23,127.796,126.252,126.55,126.4615,19693160.0
GOOG,2021-06-24,127.5355,126.96,127.0535,127.282,18933240.0
GOOG,2021-06-25,127.505,126.444,126.957,126.995,33485940.0
GOOG,2021-06-28,127.337,125.9738,127.0,126.8195,28110860.0
GOOG,2021-06-29,127.0,125.437,126.7725,126.0185,20949560.0
GOOG,2021-06-30,125.8,124.7575,125.6536,125.316,24009560.0
